iter	MultiClass
0	1.944950976
1	1.944538088
2	1.943754698
3	1.943256385
4	1.942884109
5	1.941842612
6	1.941506695
7	1.941068488
8	1.940801495
9	1.940149162
10	1.93954002
11	1.939001042
12	1.938578717
13	1.937364049
14	1.936358757
15	1.936177424
16	1.935640345
17	1.935269944
18	1.93360696
19	1.932282343
20	1.930997426
21	1.930427402
22	1.929709603
23	1.92870503
24	1.928210573
25	1.927300759
26	1.925927217
27	1.925309555
28	1.925299702
29	1.924756331
30	1.923544828
31	1.922793859
32	1.922057827
33	1.92167272
34	1.921438381
35	1.920416664
36	1.919765558
37	1.918427573
38	1.917995921
39	1.917681332
40	1.916671278
41	1.915563786
42	1.914772786
43	1.913528161
44	1.912439926
45	1.912040642
46	1.911256319
47	1.910197393
48	1.909234699
49	1.908428503
50	1.907816342
51	1.907272345
52	1.906672177
53	1.906017186
54	1.904929549
55	1.90465106
56	1.903284533
57	1.902599426
58	1.901921602
59	1.901545736
60	1.900946758
61	1.900047093
62	1.899445227
63	1.899165346
64	1.898695377
65	1.898488592
66	1.897848284
67	1.897442921
68	1.896580637
69	1.895992415
70	1.895104075
71	1.894693804
72	1.894458868
73	1.894041463
74	1.892443605
75	1.891663852
76	1.891451361
77	1.890623613
78	1.889163221
79	1.888877094
80	1.888458101
81	1.887880141
82	1.887236146
83	1.886563465
84	1.885582828
85	1.884380513
86	1.883685034
87	1.883396519
88	1.882850127
89	1.882511875
90	1.881586621
91	1.880993369
92	1.880159681
93	1.879765803
94	1.878919019
95	1.877550409
96	1.876906914
97	1.876251011
98	1.875742971
99	1.875303152
100	1.873610365
101	1.872999907
102	1.872656994
103	1.87225744
104	1.871097162
105	1.870793141
106	1.870258767
107	1.868751245
108	1.868161137
109	1.86779837
110	1.867505341
111	1.866387866
112	1.866221726
113	1.865475387
114	1.864286057
115	1.863030194
116	1.861804394
117	1.861191052
118	1.860212369
119	1.859453873
120	1.858495267
121	1.857745273
122	1.857533746
123	1.857239236
124	1.855989602
125	1.855091601
126	1.854138848
127	1.852094506
128	1.851169458
129	1.85099931
130	1.850797545
131	1.850406711
132	1.849338165
133	1.848325255
134	1.846742366
135	1.845905584
136	1.844952244
137	1.84347569
138	1.84277895
139	1.842096114
140	1.841513997
141	1.840280815
142	1.839557576
143	1.83844241
144	1.837917426
145	1.837475105
146	1.836969215
147	1.83664244
148	1.836011068
149	1.835366808
150	1.834962939
151	1.834437384
152	1.83389059
153	1.833410557
154	1.83292752
155	1.830935455
156	1.830843038
157	1.830437841
158	1.829858586
159	1.829552857
160	1.828881418
161	1.828339279
162	1.827462859
163	1.827166572
164	1.826655213
165	1.826036327
166	1.825274155
167	1.824699309
168	1.824689231
169	1.822626234
170	1.821241868
171	1.821002244
172	1.819042342
173	1.81855062
174	1.818186136
175	1.817511939
176	1.816862882
177	1.816105758
178	1.815977153
179	1.814611742
180	1.813640182
181	1.812929194
182	1.812272301
183	1.811714343
184	1.810675255
185	1.80976261
186	1.809476372
187	1.808940207
188	1.808144391
189	1.807390405
190	1.807133333
191	1.805965435
192	1.805106213
193	1.804882979
194	1.804603759
195	1.803752371
196	1.802975688
197	1.802134832
198	1.800882003
199	1.800229723
200	1.799671642
201	1.799190741
202	1.798835578
203	1.797634186
204	1.797276719
205	1.796779432
206	1.795713098
207	1.795524037
208	1.79399255
209	1.793316082
210	1.792814989
211	1.792406891
212	1.791339949
213	1.789796637
214	1.788807528
215	1.788143773
216	1.78727612
217	1.786886133
218	1.786122982
219	1.785285587
220	1.784719132
221	1.783466682
222	1.782220061
223	1.781275769
224	1.780349732
225	1.77984571
226	1.778978901
227	1.778558953
228	1.778083184
229	1.777584184
230	1.776601842
231	1.775714326
232	1.774530988
233	1.773854891
234	1.772997372
235	1.771487589
236	1.77043308
237	1.770230474
238	1.769529602
