iter	Passed	Remaining
0	95	95613
1	195	97474
2	314	104600
3	426	106307
4	530	105529
5	647	107243
6	748	106169
7	894	110929
8	998	109937
9	1097	108613
10	1197	107665
11	1313	108116
12	1416	107581
13	1525	107450
14	1640	107707
15	1751	107723
16	1855	107303
17	1956	106742
18	2067	106768
19	2171	106392
20	2280	106312
21	2411	107185
22	2516	106881
23	2621	106598
24	2722	106160
25	2820	105664
26	2922	105302
27	3022	104918
28	3057	102366
29	3145	101710
30	3252	101675
31	3363	101746
32	3467	101601
33	3571	101463
34	3670	101189
35	3772	101010
36	3889	101224
37	4000	101280
38	4104	101147
39	4216	101198
40	4314	100915
41	4413	100672
42	4518	100567
43	4614	100259
44	4712	100009
45	4812	99812
46	4908	99531
47	4998	99138
48	5095	98897
49	5196	98728
50	5291	98460
51	5400	98452
52	5504	98350
53	5599	98098
54	5696	97884
55	5789	97599
56	5894	97517
57	5992	97323
58	6089	97120
59	6184	96895
60	6281	96698
61	6381	96545
62	6487	96490
63	6586	96328
64	6687	96191
65	6785	96029
66	6901	96112
67	7015	96148
68	7113	95984
69	7211	95811
70	7308	95625
71	7416	95588
72	7461	94751
73	7540	94354
74	7632	94134
75	7730	93985
76	7823	93785
77	7933	93777
78	8044	93781
79	8142	93637
80	8245	93547
81	8342	93395
82	8442	93270
83	8543	93166
84	8641	93025
85	8746	92955
86	8857	92950
87	8964	92900
88	9060	92741
89	9172	92745
90	9285	92757
91	9386	92639
92	9496	92616
93	9599	92521
94	9698	92386
95	9802	92304
96	9906	92221
97	10016	92194
98	10119	92098
99	10218	91969
100	10318	91847
101	10419	91734
102	10559	91961
103	10694	92137
104	10812	92167
105	10912	92036
106	11014	91927
107	11125	91889
108	11233	91822
109	11334	91705
110	11449	91698
111	11557	91637
112	11659	91522
113	11760	91404
114	11858	91257
115	11967	91201
116	12067	91074
117	12172	90984
118	12270	90843
119	12371	90727
120	12495	90773
121	12604	90712
122	12706	90600
123	12802	90445
124	12905	90338
125	13009	90238
126	13101	90057
127	13205	89964
128	13318	89923
129	13420	89812
130	13515	89659
131	13616	89537
132	13711	89381
133	13812	89268
134	13913	89147
135	14013	89029
136	14106	88858
137	14201	88710
138	14296	88554
139	14397	88444
140	14498	88326
141	14593	88174
142	14702	88113
143	14799	87975
144	14895	87830
145	14998	87728
146	15107	87662
147	15207	87544
148	15304	87409
149	15397	87254
150	15501	87158
